Time,Engine RPM,Ground Speed
0,1222,9.3
1,1226,9.8
2,1217,10.2
3,1183,9.8
4,1202,10.7
5,1205,11.2
6,1167,10.4
7,1149,10
8,1151,9.8
9,1160,9.2
10,1116,10.1
11,1067,10.1
12,1074,9.4
13,1073,9.4
14,1044,8.6
15,1074,8.3
16,1123,7.5
17,1084,6.8
18,1074,7.5
19,1032,7.9
20,1031,8.2
21,1030,9
22,1039,9.5
23,1049,9.9
24,1078,9.9
25,1046,10.1
26,997,9.9
27,991,8.9
28,978,8.4
29,941,7.8
30,985,8.4
31,1012,8.5
32,1004,8.1
33,990,8.7
34,946,8.5
35,930,8.1
36,912,8.5
37,916,9.4
38,900,9.5
39,916,10
40,812,0
41,834,0
42,854,0
43,867,0
44,831,0
45,834,0
46,854,0
47,891,0
48,842,0
49,813,0
50,1156,13.2
51,1488,27.6
52,1875,39.4
53,2196,50.8
54,2508,61.9
55,2875,73.9
56,3219,85.1
57,3590,98.9
58,3932,113.6
59,4123,120
60,4201,119.2
61,4102,118.8
62,3964,118.7
63,3916,118.6
64,3896,119
65,3877,118
66,3902,118
67,3866,117.2
68,3899,117.8
69,3944,118.4
70,3987,119
71,3987,118.1
72,3996,117.9
73,3997,118
74,4000,117.5
75,4000,117.1
76,3999,117.9
77,4000,117.1
78,3979,117.3
79,3975,117
80,3674,104.1
81,3346,92.3
82,2894,81.7
83,2478,70
84,1990,58.7
85,1607,46.5
86,1218,31.9
87,854,18.3
88,867,4.3
89,834,0
90,1112,11
91,1480,24.3
92,1879,37.4
93,2241,51.1
94,2582,63.2
95,2942,74.1
96,3278,87.4
97,3604,98.5
98,3988,112.2
99,4000,120
100,4000,120.9
101,4000,120.3
102,4000,120.7
103,3976,120.3
104,4000,120.3
105,3980,121
106,3993,121.7
107,4000,122.4
108,4000,122.1
109,4000,121.8
110,3995,122.3
111,3991,121.7
112,4000,121.9
113,4000,121.2
114,4000,122
115,3979,121.1
116,3933,120.4
117,3961,120.8
118,3968,121.3
119,3952,121.8
120,3641,110.7
121,3275,99.3
122,2819,84.4
123,2394,74
124,1923,63.4
125,1498,50.8
126,1167,38.3
127,800,23.5
128,800,9.9
129,800,0
130,1111,10.1
131,1488,22.2
132,1853,34.2
133,2179,46.5
134,2511,61.2
135,2881,75.4
136,3224,89.8
137,3570,102.1
138,3969,113
139,4000,120
140,3998,121
141,3973,120.1
142,3977,119.6
143,3998,120.4
144,4000,121.1
145,3953,120.1
146,3999,119.5
147,3981,120.4
148,3969,120.6
149,3996,120.1
150,4000,119.4
151,4000,120.1
152,3986,119.5
153,3953,118.5
154,3943,118.3
155,3959,118.9
156,3989,119.5
157,3955,120.3
158,3995,120.5
159,4000,121.2
160,3626,106.5
161,3236,93.1
162,2879,80.2
163,2463,65.7
164,2057,50.8
165,1595,39.6
166,1159,27.9
167,800,16.5
168,800,4.8
169,800,0
